Distance_(pixels),Gray_Value
1412,21.926
1413,23.493
1414,23.967
1415,23.512
1416,22.407
1417,23.268
1418,26.467
1419,34.760
1420,51.635
1421,74.864
1422,104.331
1423,133.547
1424,162.151
1425,185.712
1426,201.134
1427,213.689
1428,210.161
1429,202.221
1430,188.796
1431,169.112
1432,145.029
1433,118.954
1434,96.254
1435,74.402
1436,55.087
1437,39.949
1438,29.390
1439,21.812
1440,18.613
1441,19.102
1442,20.887
1443,22.116
1444,22.495
1445,21.605
1446,20.836
1447,20.490
1448,23.374
1449,30.323
1450,43.043
1451,63.240
1452,91.373
1453,123.944
1454,150.802
1455,175.038
1456,194.936
1457,208.217
1458,212.139
1459,206.135
1460,192.275
1461,174.311
1462,148.545
1463,120.289
1464,96.234
1465,69.564
1466,50.315
1467,37.090
1468,28.196
1469,22.362
1470,19.153
1471,18.038
1472,18.325
1473,19.181
1474,19.579
1475,20.287
1476,19.911
1477,18.680
1478,17.230
1479,17.854
1480,20.274
1481,28.742
1482,42.794
1483,64.217
1484,90.438
1485,120.439
1486,154.757
1487,183.553
1488,208.190
1489,219.678
1490,226.438
1491,217.596
1492,204.923
1493,177.599
1494,149.073
1495,115.851
1496,88.054
1497,65.204
1498,45.976
1499,33.005
1500,24.597
1501,19.895
1502,17.445
1503,17.924
1504,17.904
1505,19.055
1506,18.451
1507,19.181
1508,19.785
1509,19.420
1510,18.447
1511,18.018
1512,19.976
1513,25.640
1514,36.627
1515,54.799
1516,77.803
1517,105.822
1518,137.479
1519,160.706
1520,189.425
1521,206.666
1522,214.926
1523,208.162
1524,200.720
1525,175.408
1526,150.473
1527,113.918
1528,90.917
1529,66.018
1530,49.200
1531,35.570
1532,26.558
1533,21.984
1534,18.896
1535,18.515
1536,19.576
1537,21.244
1538,22.417
1539,22.798
1540,22.017
1541,20.981
1542,20.704
1543,19.430
1544,17.814
1545,18.869
1546,20.403
1547,26.600
1548,37.699
1549,56.238
1550,81.905
1551,110.547
1552,135.890
1553,163.274
1554,187.331
1555,196.419
1556,204.082
1557,192.925
1558,179.848
1559,150.096
1560,123.963
1561,98.192
1562,74.388
1563,53.238
1564,37.504
1565,27.851
1566,22.645
1567,20.046
1568,20.445
1569,22.039
1570,22.054
1571,23.348
1572,22.501
1573,23.711
1574,22.210
1575,22.993
1576,22.945
1577,23.247
1578,22.565
1579,20.623
1580,19.056
1581,20.127
1582,25.434
1583,36.521
1584,51.463
1585,69.983
1586,97.444
1587,126.919
1588,152.050
1589,169.046
1590,185.601
1591,185.047
1592,176.535
1593,155.171
1594,127.449
1595,100.308
1596,76.117
1597,54.416
1598,40.432
1599,29.810
1600,23.836
1601,20.249
1602,19.182
1603,18.295
1604,18.971
1605,18.008
1606,18.997
1607,22.141
1608,23.261
1609,24.350
1610,25.089
1611,23.048
1612,20.574
1613,19.349
1614,18.733
1615,21.802
1616,29.500
1617,44.463
1618,64.313
1619,95.657
1620,117.802
1621,146.381
1622,162.366
1623,180.963
1624,180.985
1625,178.582
1626,165.503
1627,142.586
1628,116.849
1629,93.958
1630,68.366
1631,51.799
1632,37.169
1633,28.481
1634,23.294
1635,22.655
1636,22.137
1637,22.351
1638,24.216
1639,24.251
1640,23.520
1641,22.557
1642,22.938
1643,20.284
1644,19.870
1645,19.837
1646,18.169
1647,18.000
1648,18.690
1649,24.576
1650,32.584
1651,45.958
1652,64.044
1653,85.113
1654,109.435
1655,136.138
1656,156.804
1657,169.705
1658,172.488
1659,169.116
1660,156.430
1661,138.089
1662,114.387
1663,91.559
1664,70.584
1665,50.103
1666,35.221
1667,26.388
1668,21.747
1669,20.144
1670,21.384
1671,22.280
1672,23.258
1673,23.322
1674,23.984
1675,23.605
1676,23.626
1677,22.265
1678,20.823
1679,20.384
1680,20.136
1681,20.036
1682,19.206
1683,19.191
1684,21.602
1685,27.242
1686,37.853
1687,53.094
1688,70.340
1689,91.350
1690,111.392
1691,127.893
1692,140.856
1693,140.864
1694,137.560
1695,129.529
1696,116.356
1697,101.105
1698,83.374
1699,67.700
1700,52.344
1701,40.249
1702,32.325
1703,27.417
1704,25.389
1705,25.744
1706,25.724
1707,26.750
1708,26.811
1709,26.652
1710,25.561
1711,23.924
1712,23.804
1713,23.513
1714,22.254
1715,20.620
1716,19.331
1717,18.921
1718,18.394
1719,19.779
1720,23.960
1721,31.443
1722,42.264
1723,56.682
1724,71.149
1725,88.117
1726,108.432
1727,124.399
1728,130.672
1729,129.968
1730,126.288
1731,118.891
1732,107.535
1733,91.820
1734,75.234
1735,59.880
1736,47.700
1737,38.273
1738,32.270
1739,29.205
1740,28.158
1741,27.962
1742,27.236
1743,25.686
1744,23.595
1745,21.815
1746,21.124
1747,21.539
1748,22.488
1749,22.468
1750,21.950
1751,21.717
1752,20.465
1753,18.844
1754,18.703
1755,20.613
1756,23.935
1757,30.516
1758,40.464
1759,52.982
1760,68.222
1761,82.846
1762,97.018
1763,105.297
1764,112.039
1765,117.794
1766,115.846
1767,107.801
1768,95.653
1769,79.589
1770,63.492
1771,50.052
1772,40.235
1773,32.181
1774,27.417
1775,25.321
1776,24.643
1777,24.110
1778,24.455
1779,24.174
1780,23.939
1781,25.028
1782,24.793
1783,26.413
1784,26.107
1785,24.667
1786,23.995
1787,23.288
1788,21.952
1789,21.561
1790,21.342
1791,22.628
1792,27.059
1793,34.425
1794,44.200
1795,55.121
